Country Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
China,93.245,93.576,93.907,94.239,94.573,94.909,95.25,95.594,95.943,96.293,96.638,96.974,97.296,97.598,97.877,98.129,98.366,98.601,98.847,99.119,99.7,99.875,99.975,100,100,100,100,100
Cote d'Ivoire,36.659,37.787,38.915,40.039,36.5,42.27,43.37,44.457,45.527,48.2,47.617,48.644,51.4,50.679,51.696,58.9,53.746,54.786,55.837,56.897,57.964,59.036,55.8,61.189,61.9,63.313,64.3,65.636
Cameroon,0,29,32.677,33.812,34.949,36.089,37.232,38.38,40.7,40.685,41,46.2,44.097,45.202,47.1,47.339,49,48.2,50.466,51.541,53.053,53.7,55.022,56.263,56.8,58.814,60.107,61.402
"Congo, Dem. Rep.",0,0,0,0,0,0,0,0,0,0,6.7,7.132,7.818,8.485,9.128,6,10.346,15.2,11.556,12.192,12.867,13.591,15.4,15.16,13.5,16.834,17.975,19.094
"Congo, Rep.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.8,33.758,35.874,38.001,37.1,42.344,44.584,41.6,49.186,52.68,60.4,61.73,66.215
Colombia,89.9,90.915,91.234,91.555,91.877,91.2,92.531,92.864,93.202,93.54,95.2,94.198,94.508,94.799,95.066,96.8,95.532,95.755,96.807,96.057,96.789,96.694,97.032,97.779,97.791,98.187,98.4,99.595
Comoros,0,0,0,0,0,0,28.9,32.61,34.977,37.345,39.708,42.062,44.8,46.722,49.018,51.289,53.544,55.796,58.061,60.351,70.153,69.66,69.3,69.933,72.415,74.914,77.422,79.931
Cabo Verde,0,0,0,0,0,0,0,0,0,0,0,0,58.6,63.079,65.134,67,69.177,71.189,73.212,75.261,81.1,79.485,81.664,83.879,86.12,88.378,90.645,92.914
Costa Rica,0,0,0,0,0,0,0,0,0,0,0,98.25,98.509,98.696,98.955,99.053,99.148,99.218,99.264,99.41,98.996,99.232,99.503,99.564,99.359,99.41,99.5,99.6
Caribbean small states,0,0,0,0,0,0,0,0,0,84.796,86.758,89.131,89.251,89.541,90.051,90.473,91.032,91.904,92.751,92.356,93.489,93.183,94.354,95.569,96.228,96.764,97.679,98.384
Cuba,0,0,0,0,0,0,0,0,0,0,97,96.228,95.5,96.63,96.796,96.937,97.063,97.186,97.321,97.482,97.681,97.929,98.22,98.546,98.899,99.269,99.647,100
Curacao,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Cayman Islands,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Cyprus,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Czech Republic,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Germany,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Djibouti,0,0,0,0,0,0,62,56.327,56.352,56.377,56.397,56.408,49.7,56.383,56.337,56.264,55.5,56.087,56.009,55.956,55.941,55.976,54.6,56.167,56.444,57.549,58.659,60.2
Dominica,0,0,0,0,0,0,0,0,75,79.544,80.941,82.328,87.7,85.055,86.385,87.689,88.977,90.263,90.9,92.884,94.246,95.656,97.111,98.6,99.469,99.912,100,100
Denmark,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Dominican Republic,0,78.2,81.828,82.639,83.452,84.267,85.086,85.909,86.737,91,88.765,89.791,89.75,89.174,90.317,90.141,90.118,96.876,97.576,97.858,98.145,97.899,97.867,98.386,98.471,98.56,98.9,100
Algeria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.3,98.742,98.885,99.076,98.765,99.581,99.877,99.943,99.992,100
East Asia & Pacific (excluding high income),93.245,87.399,90.001,87.56,88.881,89.715,90.484,91.189,91.268,91.865,92.26,92.787,92.13,92.383,93.375,93.104,94.163,94.268,94.757,94.571,95.072,95.701,96.06,96.259,96.365,96.8,96.972,97.592
Early-demographic dividend,0,0,0,54.456,55.1,57.017,58.812,60.931,62.6,65.363,65.171,64.502,67.907,68.994,70.115,70.773,72.647,75.114,75.279,77.277,78.57,75.211,81.342,81.947,83.004,85.812,87.319,89.685
