"Year","Country","Total","Solid.Fuel","Liquid.Fuel","Gas.Fuel","Cement","Gas.Flaring","Per.Capita","Pop","PercentElectrified","HDEvIndx","LifeTime","PopExposed","RuralPercent","UrbanPercent"
1949,"AFGHANISTAN",4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,"AFGHANISTAN",23,6,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1951,"AFGHANISTAN",25,7,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1952,"AFGHANISTAN",25,9,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1953,"AFGHANISTAN",29,10,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1954,"AFGHANISTAN",29,12,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1955,"AFGHANISTAN",42,17,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1956,"AFGHANISTAN",50,17,33,NA,NA,NA,0.01,5e+06,NA,NA,NA,NA,NA,NA
1957,"AFGHANISTAN",80,21,59,NA,NA,NA,0.01,8e+06,NA,NA,NA,NA,NA,NA
1958,"AFGHANISTAN",90,25,65,NA,NA,NA,0.01,9e+06,NA,NA,NA,NA,NA,NA
1959,"AFGHANISTAN",105,30,70,NA,5,NA,0.01,10500000,NA,NA,NA,NA,NA,NA
1960,"AFGHANISTAN",113,35,74,NA,5,NA,0.01,11300000,NA,NA,32.446,NA,91.599,8.401
1961,"AFGHANISTAN",134,48,80,NA,6,NA,0.01,13400000,NA,NA,32.962,NA,91.316,8.684
1962,"AFGHANISTAN",188,81,99,NA,8,NA,0.02,9400000,NA,NA,33.471,NA,91.024,8.976
1963,"AFGHANISTAN",193,72,107,NA,14,NA,0.02,9650000,NA,NA,33.971,NA,90.724,9.276
1964,"AFGHANISTAN",229,82,130,NA,17,NA,0.02,11450000,NA,NA,34.463,NA,90.414,9.586
1965,"AFGHANISTAN",275,104,148,NA,23,NA,0.03,9166666.66666667,NA,NA,34.948,NA,90.096,9.904
1966,"AFGHANISTAN",298,117,157,NA,24,NA,0.03,9933333.33333333,NA,NA,35.43,NA,89.767,10.233
1967,"AFGHANISTAN",350,109,152,71,18,NA,0.03,11666666.6666667,NA,NA,35.914,NA,89.43,10.57
1968,"AFGHANISTAN",334,91,136,95,13,NA,0.03,11133333.3333333,NA,NA,36.403,NA,89.082,10.918
1969,"AFGHANISTAN",257,99,144,NA,14,NA,0.02,12850000,NA,NA,36.9,NA,88.725,11.275
1970,"AFGHANISTAN",456,119,183,59,13,81,0.04,11400000,NA,NA,37.409,NA,88.357,11.643
1971,"AFGHANISTAN",517,98,204,120,12,83,0.04,12925000,NA,NA,37.93,NA,87.979,12.021
1972,"AFGHANISTAN",418,52,171,82,13,100,0.03,13933333.3333333,NA,NA,38.461,NA,87.59,12.41
1973,"AFGHANISTAN",447,85,192,91,19,61,0.03,14900000,NA,NA,39.003,NA,87.191,12.809
1974,"AFGHANISTAN",523,83,210,109,20,100,0.04,13075000,NA,NA,39.558,NA,86.781,13.219
1975,"AFGHANISTAN",580,109,239,130,20,83,0.04,14500000,NA,NA,40.128,NA,86.359,13.641
1976,"AFGHANISTAN",542,116,241,82,23,80,0.04,13550000,NA,NA,40.715,NA,85.926,14.074
1977,"AFGHANISTAN",652,123,266,140,19,104,0.05,13040000,NA,NA,41.32,NA,85.483,14.517
1978,"AFGHANISTAN",589,157,255,82,17,77,0.04,14725000,NA,NA,41.944,NA,85.027,14.973
1979,"AFGHANISTAN",611,96,318,105,19,73,0.04,15275000,NA,NA,42.585,NA,84.558,15.442
1980,"AFGHANISTAN",480,86,252,51,7,83,0.03,1.6e+07,NA,NA,43.244,NA,84.005,15.995
1981,"AFGHANISTAN",541,91,277,83,10,80,0.04,13525000,NA,NA,43.923,NA,83.438,16.562
1982,"AFGHANISTAN",573,105,271,108,12,77,0.04,14325000,NA,NA,44.617,NA,82.853,17.147
1983,"AFGHANISTAN",688,105,333,168,2,80,0.05,13760000,NA,NA,45.324,NA,82.253,17.747
1984,"AFGHANISTAN",772,107,309,254,15,86,0.06,12866666.6666667,NA,NA,46.04,NA,81.635,18.365
1985,"AFGHANISTAN",957,109,422,325,10,90,0.08,11962500,NA,NA,46.761,NA,81.003,18.997
1986,"AFGHANISTAN",857,116,311,328,12,90,0.07,12242857.1428571,NA,NA,47.486,NA,80.353,19.647
1987,"AFGHANISTAN",852,121,550,107,14,61,0.07,12171428.5714286,NA,NA,48.211,NA,79.686,20.314
1988,"AFGHANISTAN",782,100,497,120,14,51,0.06,13033333.3333333,NA,NA,48.93,NA,79.002,20.998
1989,"AFGHANISTAN",757,92,509,131,14,11,0.06,12616666.6666667,NA,NA,49.64,NA,78.912,21.088
1990,"AFGHANISTAN",713,76,505,110,15,7,0.05,14260000,NA,NA,50.331,100,78.823,21.177
1991,"AFGHANISTAN",665,68,469,106,15,7,0.05,13300000,NA,NA,50.999,NA,78.734,21.266
1992,"AFGHANISTAN",380,6,253,99,16,6,0.02,1.9e+07,NA,NA,51.641,NA,78.645,21.355
1993,"AFGHANISTAN",367,5,244,96,16,6,0.02,18350000,NA,NA,52.256,NA,78.556,21.444
1994,"AFGHANISTAN",353,4,234,92,16,6,0.02,17650000,NA,NA,52.842,NA,78.466,21.534
1995,"AFGHANISTAN",339,4,225,88,16,6,0.02,16950000,NA,NA,53.398,100,78.376,21.624
1996,"AFGHANISTAN",321,2,213,84,16,6,0.02,16050000,NA,NA,53.924,NA,78.286,21.714
1997,"AFGHANISTAN",299,1,198,77,16,6,0.01,29900000,NA,NA,54.424,NA,78.195,21.805
1998,"AFGHANISTAN",284,1,188,72,16,6,0.01,28400000,NA,NA,54.906,NA,78.105,21.895
1999,"AFGHANISTAN",224,1,135,66,16,6,0.01,22400000,NA,NA,55.376,NA,78.014,21.986
2000,"AFGHANISTAN",211,1,136,61,7,6,0.01,21100000,NA,NA,55.841,100,77.922,22.078
2001,"AFGHANISTAN",223,19,134,57,7,6,0.01,22300000,NA,NA,56.308,NA,77.831,22.169
2002,"AFGHANISTAN",292,15,120,149,8,NA,0.01,29200000,NA,0.373,56.784,NA,77.739,22.261
2003,"AFGHANISTAN",326,25,164,127,10,NA,0.01,32600000,NA,0.383,57.271,NA,77.647,22.353
2004,"AFGHANISTAN",259,25,162,62,10,NA,0.01,25900000,NA,0.398,57.772,NA,77.5,22.5
2005,"AFGHANISTAN",362,29,235,90,8,NA,0.01,36200000,23,0.408,58.29,100,77.297,22.703
2006,"AFGHANISTAN",450,44,310,90,7,NA,0.02,22500000,26.929,0.417,58.826,NA,77.093,22.907
2007,"AFGHANISTAN",620,204,327,84,4,NA,0.02,3.1e+07,33.016,0.429,59.375,NA,76.887,23.113
2008,"AFGHANISTAN",1147,294,767,81,5,NA,0.04,28675000,42.4,0.437,59.93,NA,76.68,23.32
2009,"AFGHANISTAN",1846,419,1349,74,4,NA,0.07,26371428.5714286,45.237,0.453,60.484,NA,76.472,23.528
2010,"AFGHANISTAN",2308,627,1601,74,5,NA,0.08,28850000,42.7,0.463,61.028,100,76.263,23.737
2011,"AFGHANISTAN",3338,1174,2075,84,5,NA,0.12,27816666.6666667,43.222,0.471,61.553,100,76.052,23.948
2012,"AFGHANISTAN",2933,1000,1844,84,5,NA,0.1,29330000,69.1,0.482,62.054,100,75.84,24.16
2013,"AFGHANISTAN",2731,1075,1568,81,7,NA,0.09,30344444.4444444,70.153,0.487,62.525,100,75.627,24.373
2014,"AFGHANISTAN",2675,1194,1393,74,14,NA,0.08,33437500,89.5,0.491,62.966,100,75.413,24.587
1933,"ALBANIA",2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1934,"ALBANIA",2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1935,"ALBANIA",5,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1936,"ALBANIA",35,NA,34,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
1937,"ALBANIA",81,NA,79,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
1938,"ALBANIA",95,NA,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1939,"ALBANIA",118,NA,118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1940,"ALBANIA",189,NA,189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1941,"ALBANIA",171,NA,169,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
1942,"ALBANIA",203,NA,203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1943,"ALBANIA",126,NA,126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1944,"ALBANIA",42,NA,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1945,"ALBANIA",33,NA,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1946,"ALBANIA",132,6,126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1947,"ALBANIA",253,NA,253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1948,"ALBANIA",192,2,190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1949,"ALBANIA",277,NA,277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,"ALBANIA",81,12,68,NA,2,NA,0.07,1157142.85714286,NA,NA,NA,NA,NA,NA
1951,"ALBANIA",110,20,85,3,2,NA,0.09,1222222.22222222,NA,NA,NA,NA,NA,NA
1952,"ALBANIA",102,21,77,3,2,NA,0.08,1275000,NA,NA,NA,NA,NA,NA
1953,"ALBANIA",113,31,75,5,2,NA,0.09,1255555.55555556,NA,NA,NA,NA,NA,NA
1954,"ALBANIA",137,43,84,8,2,NA,0.1,1370000,NA,NA,NA,NA,NA,NA
1955,"ALBANIA",181,60,105,10,6,NA,0.13,1392307.69230769,NA,NA,NA,NA,NA,NA
1956,"ALBANIA",229,68,139,13,9,NA,0.16,1431250,NA,NA,NA,NA,NA,NA
1957,"ALBANIA",411,75,310,16,10,NA,0.28,1467857.14285714,NA,NA,NA,NA,NA,NA
1958,"ALBANIA",328,79,220,18,11,NA,0.22,1490909.09090909,NA,NA,NA,NA,NA,NA
1959,"ALBANIA",394,92,271,21,10,NA,0.25,1576000,NA,NA,NA,NA,NA,NA
1960,"ALBANIA",552,89,430,23,10,NA,0.34,1623529.41176471,NA,NA,62.283,NA,69.295,30.705
1961,"ALBANIA",622,88,496,23,16,NA,0.37,1681081.08108108,NA,NA,63.301,NA,69.057,30.943
1962,"ALBANIA",672,99,534,23,16,NA,0.39,1723076.92307692,NA,NA,64.19,NA,68.985,31.015
1963,"ALBANIA",568,77,450,23,18,NA,0.32,1775000,NA,NA,64.914,NA,68.914,31.086
1964,"ALBANIA",550,91,419,23,17,NA,0.3,1833333.33333333,NA,NA,65.463,NA,68.842,31.158
1965,"ALBANIA",593,108,443,23,20,NA,0.32,1853125,NA,NA,65.85,NA,68.77,31.23
1966,"ALBANIA",696,130,518,28,19,NA,0.36,1933333.33333333,NA,NA,66.11,NA,68.698,31.302
1967,"ALBANIA",731,143,523,35,30,NA,0.37,1975675.67567568,NA,NA,66.304,NA,68.626,31.374
1968,"ALBANIA",838,161,596,40,41,NA,0.41,2043902.43902439,NA,NA,66.487,NA,68.554,31.446
1969,"ALBANIA",885,188,606,46,45,NA,0.43,2058139.53488372,NA,NA,66.689,NA,68.452,31.548
1970,"ALBANIA",1021,243,677,51,49,NA,0.48,2127083.33333333,NA,NA,66.935,NA,68.26,31.74
1971,"ALBANIA",1187,270,802,66,49,NA,0.54,2198148.14814815,NA,NA,67.237,NA,68.067,31.933
1972,"ALBANIA",1539,295,1114,76,54,NA,0.69,2230434.7826087,NA,NA,67.582,NA,67.873,32.127
1973,"ALBANIA",1443,319,954,100,70,NA,0.63,2290476.19047619,NA,NA,67.953,NA,67.679,32.321
1974,"ALBANIA",1185,330,661,117,76,NA,0.5,2370000,NA,NA,68.343,NA,67.484,32.516
1975,"ALBANIA",1253,344,670,151,88,NA,0.52,2409615.38461538,NA,NA,68.736,NA,67.288,32.712
1976,"ALBANIA",1350,347,724,183,95,NA,0.55,2454545.45454545,NA,NA,69.11,NA,67.092,32.908
1977,"ALBANIA",1560,464,804,191,102,NA,0.62,2516129.03225806,NA,NA,69.448,NA,66.895,33.105
1978,"ALBANIA",1771,580,896,185,109,NA,0.69,2566666.66666667,NA,NA,69.742,NA,66.698,33.302
1979,"ALBANIA",2069,732,1030,193,115,NA,0.79,2618987.34177215,NA,NA,69.991,NA,66.5,33.5
1980,"ALBANIA",1410,634,429,211,136,NA,0.53,2660377.35849057,NA,NA,70.208,NA,66.238,33.762
1981,"ALBANIA",2002,722,954,220,107,NA,0.73,2742465.75342466,NA,NA,70.416,NA,65.976,34.024
1982,"ALBANIA",1993,786,858,236,113,NA,0.72,2768055.55555556,NA,NA,70.635,NA,65.713,34.287
1983,"ALBANIA",2081,847,854,266,114,NA,0.73,2850684.93150685,NA,NA,70.876,NA,65.448,34.552
1984,"ALBANIA",2134,928,804,285,117,NA,0.74,2883783.78378378,NA,NA,71.134,NA,65.183,34.817
1985,"ALBANIA",2149,1016,752,265,116,NA,0.73,2943835.61643836,NA,NA,71.388,NA,64.917,35.083
1986,"ALBANIA",2197,1012,783,287,115,NA,0.72,3051388.88888889,NA,NA,71.605,NA,64.65,35.35
1987,"ALBANIA",2030,1019,770,123,117,NA,0.65,3123076.92307692,NA,NA,71.76,NA,64.381,35.619
1988,"ALBANIA",1998,1096,703,97,101,NA,0.63,3171428.57142857,NA,NA,71.843,NA,64.112,35.888
1989,"ALBANIA",2450,1107,1118,122,103,NA,0.75,3266666.66666667,NA,NA,71.86,NA,63.842,36.158
1990,"ALBANIA",1504,682,593,127,102,NA,0.46,3269565.2173913,100,0.645,71.836,100,63.572,36.428
1991,"ALBANIA",1169,404,608,75,82,NA,0.36,3247222.22222222,100,0.626,71.803,NA,63.3,36.7
1992,"ALBANIA",686,218,386,54,27,NA,0.21,3266666.66666667,100,0.61,71.802,NA,62.751,37.249
1993,"ALBANIA",637,164,404,43,27,NA,0.2,3185000,100,0.613,71.86,NA,62.201,37.799
1994,"ALBANIA",525,46,438,27,14,NA,0.17,3088235.29411765,100,0.619,71.992,NA,61.646,38.354
1995,"ALBANIA",569,44,484,14,27,NA,0.18,3161111.11111111,100,0.632,72.205,100,61.089,38.911
1996,"ALBANIA",550,31,479,12,28,NA,0.18,3055555.55555556,100,0.641,72.495,NA,60.527,39.473
1997,"ALBANIA",421,12,385,10,14,NA,0.14,3007142.85714286,100,0.641,72.838,NA,59.965,40.035
1998,"ALBANIA",478,15,444,9,11,NA,0.16,2987500,100,0.652,73.208,NA,59.399,40.601
1999,"ALBANIA",814,30,761,8,14,NA,0.26,3130769.23076923,100,0.662,73.587,NA,58.831,41.169
2000,"ALBANIA",824,19,776,6,24,NA,0.27,3051851.85185185,100,0.669,73.955,100,58.259,41.741
2001,"ALBANIA",879,22,853,4,NA,NA,0.29,3031034.48275862,100,0.676,74.288,NA,57.565,42.435
2002,"ALBANIA",1023,23,993,7,NA,NA,0.33,3100000,100,0.682,74.579,NA,56.499,43.501
2003,"ALBANIA",1171,23,1062,7,79,NA,0.38,3081578.94736842,100,0.689,74.828,NA,55.427,44.573
2004,"ALBANIA",1136,23,1026,9,78,NA,0.36,3155555.55555556,100,0.694,75.039,NA,54.349,45.651
2005,"ALBANIA",1160,20,1068,6,67,NA,0.37,3135135.13513514,100,0.704,75.228,100,53.269,46.731
2006,"ALBANIA",1063,20,967,6,71,NA,0.34,3126470.58823529,100,0.711,75.423,NA,52.185,47.815
2007,"ALBANIA",1071,20,922,9,121,NA,0.34,3150000,100,0.72,75.646,NA,51.098,48.902
2008,"ALBANIA",1193,28,1036,4,125,NA,0.38,3139473.68421053,100,0.724,75.912,NA,50.009,49.991
2009,"ALBANIA",1194,106,932,5,151,NA,0.41,2912195.12195122,100,0.729,76.221,NA,48.924,51.076
2010,"ALBANIA",1254,117,953,7,177,NA,0.43,2916279.06976744,100,0.741,76.562,100,47.837,52.163
2011,"ALBANIA",1429,146,1030,8,245,NA,0.5,2858000,100,0.752,76.914,100,46.753,53.247
2012,"ALBANIA",1339,171,861,8,299,NA,0.46,2910869.56521739,100,0.767,77.252,100,45.67,54.33
2013,"ALBANIA",1381,150,909,9,313,NA,0.48,2877083.33333333,100,0.771,77.554,100,44.613,55.387
2014,"ALBANIA",1559,191,1053,16,299,NA,0.54,2887037.03703704,100,0.773,77.813,100,43.577,56.423
1900,"ALGERIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1901,"ALGERIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1902,"ALGERIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1903,"ALGERIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1904,"ALGERIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1905,"ALGERIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1916,"ALGERIA",1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1917,"ALGERIA",2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1918,"ALGERIA",5,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1919,"ALGERIA",5,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1920,"ALGERIA",6,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1921,"ALGERIA",7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1922,"ALGERIA",7,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1923,"ALGERIA",4,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1924,"ALGERIA",8,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1925,"ALGERIA",9,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1926,"ALGERIA",11,10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1927,"ALGERIA",16,15,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1928,"ALGERIA",20,12,1,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
1929,"ALGERIA",22,12,3,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
1930,"ALGERIA",23,12,2,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
1931,"ALGERIA",27,15,1,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
1932,"ALGERIA",31,18,1,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
1933,"ALGERIA",33,22,1,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
1934,"ALGERIA",38,25,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
1935,"ALGERIA",36,28,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
1936,"ALGERIA",14,5,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
1937,"ALGERIA",19,10,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
1938,"ALGERIA",9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1939,"ALGERIA",44,14,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1940,"ALGERIA",65,40,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1941,"ALGERIA",85,58,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1942,"ALGERIA",136,107,NA,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1943,"ALGERIA",128,85,NA,32,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
1944,"ALGERIA",136,87,1,36,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
1945,"ALGERIA",168,117,NA,37,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
1946,"ALGERIA",208,156,NA,37,16,NA,NA,NA,NA,NA,NA,NA,NA,NA
1947,"ALGERIA",203,149,NA,37,17,NA,NA,NA,NA,NA,NA,NA,NA,NA
1948,"ALGERIA",219,164,NA,38,18,NA,NA,NA,NA,NA,NA,NA,NA,NA
1949,"ALGERIA",248,192,NA,38,17,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,"ALGERIA",1033,514,475,NA,44,NA,0.12,8608333.33333333,NA,NA,NA,NA,NA,NA
1951,"ALGERIA",1128,557,510,NA,61,NA,0.13,8676923.07692308,NA,NA,NA,NA,NA,NA
1952,"ALGERIA",1062,503,493,NA,66,NA,0.12,8850000,NA,NA,NA,NA,NA,NA
1953,"ALGERIA",1092,422,599,NA,70,NA,0.12,9100000,NA,NA,NA,NA,NA,NA
1954,"ALGERIA",1134,405,639,NA,90,NA,0.12,9450000,NA,NA,NA,NA,NA,NA
1955,"ALGERIA",1258,435,731,NA,92,NA,0.13,9676923.07692308,NA,NA,NA,NA,NA,NA
1956,"ALGERIA",1364,481,795,NA,89,NA,0.14,9742857.14285714,NA,NA,NA,NA,NA,NA
1957,"ALGERIA",1512,539,876,NA,97,NA,0.15,10080000,NA,NA,NA,NA,NA,NA
1958,"ALGERIA",1424,494,815,NA,115,NA,0.14,10171428.5714286,NA,NA,NA,NA,NA,NA
1959,"ALGERIA",1545,399,1016,NA,130,NA,0.15,10300000,NA,NA,NA,NA,NA,NA
1960,"ALGERIA",1680,343,1193,NA,144,NA,0.16,10500000,NA,NA,46.141,NA,69.49,30.51
1961,"ALGERIA",1654,209,1177,123,146,NA,0.15,11026666.6666667,NA,NA,46.599,NA,68.203,31.797
1962,"ALGERIA",1546,111,1129,188,119,NA,0.14,11042857.1428571,NA,NA,47.056,NA,66.786,33.214
1963,"ALGERIA",1480,69,1126,165,120,NA,0.13,11384615.3846154,NA,NA,47.509,NA,65.338,34.662
1964,"ALGERIA",1541,77,1032,325,107,NA,0.13,11853846.1538462,NA,NA,47.958,NA,63.859,36.141
1965,"ALGERIA",1799,72,1140,485,101,NA,0.15,11993333.3333333,NA,NA,48.394,NA,62.357,37.643
1966,"ALGERIA",2299,74,1630,505,90,NA,0.19,12100000,NA,NA,48.811,NA,61.16,38.84
1967,"ALGERIA",2302,52,1663,489,99,NA,0.18,12788888.8888889,NA,NA,49.21,NA,60.996,39.004
1968,"ALGERIA",2471,55,1783,514,118,NA,0.19,13005263.1578947,NA,NA,49.597,NA,60.831,39.169
1969,"ALGERIA",3075,123,2148,676,129,NA,0.23,13369565.2173913,NA,NA,49.982,NA,60.666,39.334
1970,"ALGERIA",4111,265,1866,37,126,1817,0.3,13703333.3333333,NA,NA,50.372,NA,60.5,39.5
1971,"ALGERIA",5091,246,2079,184,131,2451,0.36,14141666.6666667,NA,NA,50.773,NA,60.335,39.665
1972,"ALGERIA",7731,177,1981,856,126,4591,0.53,14586792.4528302,NA,NA,51.201,NA,60.169,39.831
1973,"ALGERIA",10448,224,2559,859,137,6669,0.69,15142028.9855072,NA,NA,51.676,NA,60.003,39.997
1974,"ALGERIA",8701,191,2622,669,128,5091,0.56,15537500,NA,NA,52.218,NA,59.837,40.163
1975,"ALGERIA",8735,216,3082,1217,129,4092,0.55,15881818.1818182,NA,NA,52.866,NA,59.67,40.33
1976,"ALGERIA",10682,160,3012,1655,190,5666,0.65,16433846.1538462,NA,NA,53.661,NA,59.503,40.497
1977,"ALGERIA",11424,165,3785,984,242,6248,0.67,17050746.2686567,NA,NA,54.609,NA,59.072,40.928
1978,"ALGERIA",17052,156,3593,6511,367,6425,0.97,17579381.443299,NA,NA,55.7,NA,58.206,41.794
1979,"ALGERIA",12441,244,4192,2229,513,5263,0.68,18295588.2352941,NA,NA,56.909,NA,57.335,42.665
1980,"ALGERIA",18140,439,5082,6954,565,5100,0.96,18895833.3333333,NA,NA,58.198,NA,56.458,43.542
1981,"ALGERIA",12664,521,4955,3047,607,3533,0.65,19483076.9230769,NA,NA,59.519,NA,55.58,44.42
1982,"ALGERIA",10709,539,5088,1957,598,2527,0.53,20205660.3773585,NA,NA,60.813,NA,54.697,45.303
1983,"ALGERIA",14351,859,6010,4533,654,2294,0.69,20798550.7246377,NA,NA,62.029,NA,53.811,46.189
1984,"ALGERIA",19390,1099,6214,8327,753,2997,0.9,21544444.4444444,NA,NA,63.13,NA,52.921,47.079
1985,"ALGERIA",19849,840,6142,7560,829,4478,0.9,22054444.4444444,NA,NA,64.087,NA,52.032,47.968
1986,"ALGERIA",20801,744,6212,9030,878,3937,0.91,22858241.7582418,NA,NA,64.884,NA,51.14,48.86
1987,"ALGERIA",22940,810,6848,10949,1026,3307,0.98,23408163.2653061,NA,NA,65.545,NA,50.278,49.722
1988,"ALGERIA",22893,812,7447,10637,979,3019,0.95,24097894.7368421,NA,NA,66.097,NA,49.489,50.511
1989,"ALGERIA",21829,815,6865,10009,927,3213,0.88,24805681.8181818,NA,NA,66.554,NA,48.702,51.298
1990,"ALGERIA",20990,803,6333,10619,862,2373,0.83,25289156.626506,NA,0.577,66.938,100,47.915,52.085
1991,"ALGERIA",21557,734,7114,10488,859,2362,0.83,25972289.1566265,NA,0.581,67.27,NA,47.129,52.871
1992,"ALGERIA",21854,649,7827,8715,870,3793,0.82,26651219.5121951,NA,0.587,67.575,NA,46.343,53.657
1993,"ALGERIA",22419,525,7640,9852,870,3532,0.83,27010843.373494,NA,0.591,67.877,NA,45.561,54.439
1994,"ALGERIA",23566,624,8311,10204,824,3604,0.85,27724705.8823529,NA,0.595,68.194,NA,44.781,55.219
1995,"ALGERIA",25987,528,7391,12888,928,4252,0.92,28246739.1304348,NA,0.6,68.54,100,44.003,55.997
1996,"ALGERIA",26479,384,7480,13801,884,3930,0.92,28781521.7391304,NA,0.608,68.919,NA,43.226,56.774
1997,"ALGERIA",23818,377,8193,10646,965,3637,0.81,29404938.2716049,NA,0.617,69.323,NA,42.456,57.544
1998,"ALGERIA",29179,576,9031,14913,1020,3639,0.98,29774489.7959184,NA,0.627,69.745,NA,41.687,58.313
1999,"ALGERIA",25101,593,6056,13898,1020,3535,0.83,30242168.6746988,NA,0.636,70.183,NA,40.882,59.118
2000,"ALGERIA",23960,537,8424,10838,1129,3032,0.78,30717948.7179487,NA,0.644,70.64,100,40.081,59.919
2001,"ALGERIA",22967,572,7767,11198,1129,2301,0.74,31036486.4864865,NA,0.653,71.116,NA,39.288,60.712
2002,"ALGERIA",24518,712,8050,12187,1224,2345,0.78,31433333.3333333,NA,0.664,71.605,NA,38.499,61.501
2003,"ALGERIA",24973,761,8718,12016,1224,2254,0.78,32016666.6666667,NA,0.674,72.101,NA,37.716,62.284
2004,"ALGERIA",24137,525,8957,11247,1496,1912,0.75,32182666.6666667,NA,0.684,72.594,NA,36.939,63.061
2005,"ALGERIA",29255,645,8475,16706,1741,1688,0.89,32870786.5168539,NA,0.692,73.072,100,36.17,63.83
2006,"ALGERIA",27562,737,9616,13457,1999,1753,0.83,33207228.9156627,NA,0.698,73.521,NA,35.407,64.593
2007,"ALGERIA",29835,822,10459,13940,2160,2454,0.85,35100000,NA,0.707,73.936,NA,34.652,65.348
2008,"ALGERIA",30054,821,10197,14069,2366,2600,0.84,35778571.4285714,99.3,0.709,74.311,NA,33.903,66.097
2009,"ALGERIA",33106,435,12252,14982,2548,2889,0.94,35219148.9361702,98.742,0.719,74.644,NA,33.174,66.826
2010,"ALGERIA",32500,332,12381,14565,2598,2623,0.9,36111111.1111111,98.885,0.729,74.938,100,32.46,67.54
